City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Xinyang,CN,65.71,overcast clouds,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
381,Batticaloa,LK,83.95,scattered clouds,7.7102,81.6924,Grand Star Guest House
382,Bolobo,CD,69.82,light rain,-2.1667,16.2333,Hotel de Stephen
385,Kalmunai,LK,85.06,broken clouds,7.4167,81.8167,VS Villa
386,Phra Phutthabat,TH,87.53,broken clouds,14.7253,100.7954,Pruksa Siri View
387,Ribeira Brava,PT,68.72,broken clouds,32.65,-17.0667,Hotel do Campo
388,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
389,Redlands,US,65.93,haze,34.0556,-117.1825,Dynasty Suites Redlands
391,Wanaraja,ID,80.76,broken clouds,-7.1749,107.9808,Undang Beras
394,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
395,Vaitape,PF,79.86,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
398,Jalalabad,AF,69.26,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
399,Tucurui,BR,74.93,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
400,Wau,SS,74.25,overcast clouds,7.7029,27.9953,Universal Gab Hotel
401,Progreso,MX,74.88,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
402,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
407,Warnes,BO,81.09,few clouds,-17.5,-63.1667,Tokame Motel
408,Alirajpur,IN,78.73,clear sky,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
409,Sumbe,AO,73.81,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
411,Sunrise Manor,US,74.71,broken clouds,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
415,Port Moresby,PG,89.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
416,Banjar,ID,89.46,broken clouds,-8.19,114.9675,The Hamsa Resort
417,Quatre Cocos,MU,78.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
418,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
419,Nebbi,UG,70.57,overcast clouds,2.4783,31.0889,Satellite One Hotel
421,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
424,Ibra,OM,85.39,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
426,Banda Aceh,ID,84.69,overcast clouds,5.5577,95.3222,Sulthan Hotel International
427,Matamoros,MX,70.79,clear sky,25.5333,-103.25,Quinta Belem
429,Ambulu,ID,79.66,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
431,Jalu,LY,70.52,clear sky,29.0331,21.5482,صاحبة الفخامة
433,Kaduqli,SD,82.04,broken clouds,11.0167,29.7167,فندق الله جابو
434,Port Macquarie,AU,73.36,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
436,Bandarbeyla,SO,79.56,few clouds,9.4942,50.8122,JABIR HOTEL
438,Salto,UY,70.88,broken clouds,-31.3833,-57.9667,Gran Hotel Uruguay
440,Svay Rieng,KH,87.87,overcast clouds,11.0879,105.7993,Apsara guesthouse
444,Tamandare,BR,77.09,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
447,Saucillo,MX,70.63,clear sky,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
449,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
451,Kumluca,TR,66.9,broken clouds,36.3703,30.2869,TurkuazKöy
452,Zhob,PK,61.59,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
455,Tocopilla,CL,63.14,clear sky,-22.092,-70.1979,Hotel Galvarino
456,Manakara,MG,79.56,scattered clouds,-22.1333,48.0167,La Residence Manakara
457,San Ramon De La Nueva Oran,AR,74.37,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
459,Naco,MX,62.69,broken clouds,31.3347,-109.9483,Motel Colonial
460,Kheda,IN,79.09,clear sky,22.75,72.6833,Royal Tire
461,Alice Springs,AU,74.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
462,Emerald,AU,86.14,scattered clouds,-23.5333,148.1667,The Irish Village
468,Corowa,AU,85.41,clear sky,-36.0333,146.3833,Statesman Motor Inn
470,Isangel,VU,80.71,few clouds,-19.55,169.2667,Tanna Lodge
471,Atambua,ID,87.76,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
473,Matara,LK,84.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
475,Tutoia,BR,79.59,broken clouds,-2.7619,-42.2744,Pousada Guará's
476,Geraldton,AU,70.12,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
478,Fare,PF,79.88,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
479,Mporokoso,ZM,66.4,overcast clouds,-9.3727,30.125,Government Guest House
480,Ridgecrest,US,66.06,scattered clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
481,Andros Town,BS,76.96,broken clouds,24.7,-77.7667,Hanks place
482,Manavalakurichi,IN,84.29,overcast clouds,8.1333,77.3,Udaya Boys Hostel
484,Da Nang,VN,87.78,scattered clouds,16.0678,108.2208,Sun River Hotel
485,Yacuiba,BO,73.9,moderate rain,-22.038,-63.6797,Hotel Monumental
486,San Vicente,AR,61.9,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
487,Itupiranga,BR,77.32,overcast clouds,-5.1347,-49.3267,Hotel Panorama
488,Tateyama,JP,75.02,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
489,Muisne,EC,74.75,broken clouds,0.6,-80.0333,Quinta Samay
493,Angoche,MZ,81.66,clear sky,-16.2325,39.9086,Guest House HESADA
497,Dwarka,IN,81.93,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
498,Bethlehem,BR,77.04,clear sky,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
502,Bubaque,GW,82.17,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
506,Juba,SS,77.85,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
507,Nishihara,JP,80.26,scattered clouds,26.1842,127.7558,Minshuku Agaihama
508,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
509,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
510,Santa Fe,AR,68.02,overcast clouds,-31.6333,-60.7,Conquistador Hotel
517,Whithorn,JM,76.26,clear sky,18.2604,-78.0378,Sunset Heal
520,Moranbah,AU,89.29,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
521,Muscat,OM,84.22,clear sky,23.6139,58.5922,Mutrah Hotel
527,Yulara,AU,67.84,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
528,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
529,Imbituba,BR,70.83,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
530,Muswellbrook,AU,81.72,scattered clouds,-32.2667,150.9,Wayfarer Motel
532,Kyaikto,MM,86.04,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
533,Bambanglipuro,ID,82.35,broken clouds,-7.95,110.2833,Puri Brata
534,Atar,MR,79.48,clear sky,20.5169,-13.0499,Oumou Elghoura
535,Othaya,KE,65.28,overcast clouds,-0.5652,36.9609,Wangome Farm
536,Prado,BR,74.62,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
537,Iracoubo,GF,79.02,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
541,Segou,ML,79.32,broken clouds,13.4317,-6.2157,Comme chez soi
544,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
545,Presidencia Roque Saenz Pena,AR,71.6,clear sky,-26.7852,-60.4388,Hotel Aconcagua
